"","ID","T3TOISA2","T3TOISA4","T3TOISA5","T3TOISA8","T3TOISA12","T3TOISA14","T3TOISA15","T3TOISA16","T3TOIspanx_O","T3TOIspanx_mi","T3TOIspanx"
"87",87,5,5,5,5,4,5,5,5,4.875,0,4.875
"88",88,1,5,1,5,1,1,1,5,2.5,0,2.5
"89",89,1,3,4,5,5,4,1,1,3,0,3
"90",90,1,2,3,1,1,2,1,5,2,0,2
"91",91,5,4,3,5,1,4,4,4,3.75,0,3.75
"92",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"93",93,5,2,1,3,3,1,3,1,2.375,0,2.375
"94",94,3,3,2,4,5,3,4,5,3.625,0,3.625
"95",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"96",96,1,1,1,1,1,1,1,2,1.125,0,1.125
"97",97,5,5,1,5,5,1,5,5,4,0,4
"98",98,3,1,1,1,1,4,4,4,2.375,0,2.375
"99",99,1,4,3,3,5,3,1,1,2.625,0,2.625
"100",100,5,5,5,5,3,4,5,2,4.25,0,4.25
"101",101,5,5,3,5,3,1,3,2,3.375,0,3.375
"102",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"103",103,1,1,1,5,1,1,5,5,2.5,0,2.5
"104",104,5,4,5,5,1,1,1,5,3.375,0,3.375
"105",105,1,4,2,1,1,1,1,1,1.5,0,1.5
"106",106,1,1,1,2,1,1,3,1,1.375,0,1.375
"107",107,4,1,5,1,1,1,5,5,2.875,0,2.875
"108",108,1,4,1,4,1,1,3,2,2.125,0,2.125
"109",109,5,5,1,5,1,1,5,5,3.5,0,3.5
"110",110,3,4,1,5,1,1,2,2,2.375,0,2.375
"111",111,1,1,5,2,1,5,1,2,2.25,0,2.25
"112",112,5,1,1,4,3,1,2,4,2.625,0,2.625
"113",113,3,2,1,4,1,2,3,4,2.5,0,2.5
"114",114,1,2,5,1,1,1,3,1,1.875,0,1.875
"115",115,1,5,1,3,5,1,1,4,2.625,0,2.625
"116",116,1,2,1,4,1,1,2,2,1.75,0,1.75
"117",117,4,1,4,1,1,4,3,1,2.375,0,2.375
